Port_IDs,PnL,ROI,Sharpe Ratio,MDD,Win Rate,Total Positions,Win Positions,Score
3672754654734989568,0.15309973898201193,0.0672682128638214,0.5,,0.5519948726165678,0.07577005435677812,0.07258900795022467,
3733192481840423936,0.1810488112293427,0.061073423440706064,0.5,,1.0,0.11118431889309834,0.19115105426892498,
3768170840939476993,0.1492710982760538,0.5109629083485422,0.5,,0.5339705502454146,0.0,0.002073971655720705,
3784403294629753856,0.17628077128416536,0.03894681923101983,0.5,,0.3766625319444652,0.994234887168506,0.632215693052195,
3786761687746711808,0.14881289384914814,0.05999419443146953,0.5,,0.5621885061526927,0.011200790644045461,0.012789491876944349,
3788465932399412480,0.311903264186015,0.04549859395557319,0.0,,0.5557771025308795,0.5032119914346895,0.4732111994469409,
3818233536529843712,0.22249297986035288,0.05055345089650425,0.5,,0.4226170857443183,0.23175753582605832,0.16660905634289666,
3819545518395756033,0.15800178299219375,0.04440490708232094,0.5,,0.4763854909052228,0.008894745511447867,0.008987210508123056,
3826087012661391104,0.15269733849011013,1.0,0.5,,0.7267932489451477,0.01548344589029814,0.021776702385067407,
3858510226868015873,0.14305094886765016,0.03264094289739977,0.5,,0.30397721083248,0.16175259430077418,0.08399585205668855,
3865845304835489536,0.16305247086453797,0.05413232524556815,0.5,,0.6370918469859311,0.14297479822105089,0.155893536121673,
3878631538480067329,0.1928722682004781,0.05266886345242409,0.5,,0.6271763666762518,0.4607148739911053,0.48911164880746627,
3879821005658659073,0.19698361217085156,0.03396543319925908,0.5,,0.412929060835808,0.14132762312633834,0.09989630141721396,
3880920727367689984,0.14428570239056954,0.031746145116171166,1.0,,0.42103884766477523,0.02157799374073464,0.01693743518838576,
3886752488982104320,0.23168813628844356,0.10417005956779786,1.0,,0.928712590325425,0.20342612419700215,0.3218112685793294,
3887577207880438784,0.1750441881737735,0.03635100825648382,0.5,,0.5957816866677627,0.994234887168506,1.0,
3891020560590657281,0.18024643759397319,0.1023732432165477,0.5,,0.8068616781359012,0.06967550650634162,0.09782232976149326,
3907081197088384000,0.35997967701696665,0.08625203227436626,0.5,,0.7649662705151455,0.6791302915499917,0.8779813342550985,
3910887259807777281,0.16776209548642965,0.052392992971641204,0.5,,0.28241109101868594,0.010047768077746665,0.005876253024541998,
3910983669796782848,0.2265482049324111,0.05247337875045486,0.5,,0.5334143309222422,0.10311316092900676,0.0947113722779122,
3911997667197443328,0.1535636005129013,0.06526887419398945,0.5,,0.5840302893309223,0.00823587547356284,0.010369858278603527,
3914654298562589441,0.1504543446248633,0.08417957131519514,0.5,,0.5159135751163426,0.07725251194201943,0.06913238852402351,
3919174299855478272,0.16364889388845197,0.03893317852951673,1.0,,0.5988730480652993,0.20639103936748476,0.21050812305565159,
3923766029921022977,0.1555436308176471,0.03484868563976174,0.5,,0.35527349556969207,0.20507329929171472,0.1240926374006222,
3925368433214965504,0.22687766741474705,0.04813875315878646,1.0,,0.4153104279686558,0.23785208367649482,0.1679917041133771,
3926423286576838657,0.16190710823843943,0.035589851943008864,0.5,,0.42486778091354116,0.07642892439466316,0.05634289664707916,
3930688517098515713,0.16946867732324278,0.039628514156068925,0.5,,0.6056610407876231,0.04513259759512436,0.04839267196681645,
3931992636670880512,0.26938766413860826,0.05658383292212617,0.5,,0.5004319041142976,0.994234887168506,0.8399585205668856,
3932103299427844097,0.19214996163713624,0.042969606920854005,0.5,,0.3744049976357059,0.42414758688848625,0.26892499135845144,
3935808725185052672,0.17367422935455512,0.034370466808829984,1.0,,0.4373473078200539,0.2801844836106078,0.20808848945731076,
3936410995029308417,0.27302210309845076,0.1027932716242407,0.5,,0.3737793851717902,0.0009883050568275408,0.002073971655720705,
3937714876784951296,0.15963159882157657,0.05139108052419247,0.5,,0.4900825598142846,0.08186460220721463,0.06947805046664363,
3939318616482048768,0.26227909392687193,0.054977045656747214,1.0,,0.4667298142885846,0.049579970350848296,0.04078810922917387,
3939925275039085824,0.17458612759490372,0.052627793746455466,0.5,,0.4514609308080327,0.9741393510130126,0.7424818527480125,
3941019213896463617,0.19658147150454908,0.059040402573035576,0.5,,0.6118412554895375,0.016142315928183167,0.019011406844106463,
3942630767220672256,0.2247727753000195,0.051990744129803555,0.5,,0.47715983764802894,0.8161752594300774,0.6577946768060836,
3943533600390906881,0.17437919194628085,0.07766871381168544,0.5,,0.6828185092014512,0.2874320540273431,0.3332181126857933,
3944088772635000577,0.23626826781803,0.06367719098436925,0.0,,0.5700500381915147,0.9963762147916323,0.958866228828206,
3944239644144231424,0.13229853629255775,0.0,0.5,,0.3296345005205764,0.13902157799374074,0.07846526097476667,
3944658614777849089,0.17097682356603627,0.14659958663235734,0.0,,0.5537472372915411,0.00510624279360896,0.0069132388524023505,
3946087913459823360,0.1459000113542858,0.04246355431345282,0.0,,0.39517623302194205,1.0,0.6671275492568269,
3949214983441029120,0.1620033504291464,0.05320182462282078,0.5,,0.4606920310248334,0.7438642727721957,0.5789837538886968,
3949329502284748801,0.15143240002208058,0.04639750549005723,0.5,,0.2336121157323689,0.06094547850436501,0.02488765986864846,
3951723256343550465,0.20874494921894687,0.03732302583376439,0.5,,0.43916637944466214,0.5654752100148246,0.4199792602834428,
3952087967771302912,0.1586247212179605,0.043715965511530536,1.0,,0.4201396189915471,0.026025366496458573,0.020048392671966817,
